ref0002;Shampooing Hydratant et Démêlant sans sulfate Keracare;;shampoing KeraCare sans sulfate, nettoie, démêle, et assouplit avec efficacité;shampooing-hydratant-et-demelant-sans-sulfate-keracare-p-image-258556-petite.png
ref0003;Curlicious Curls Cleansing Cream;;Un shampoing à la texture crèmeuse douce pour nettoyer sans irriter ni dessécher les cheveux les plus secs et fragiles, hydratation en profondeur des cheveux.;curlicious-curls-cleansing-cream-p-image-260667-petite.png
ref0004;Moisture Retention Shampoo Shea Butter de Shea Moisture;;Raw Shea Butter - Shampooing de rétention d\'humidité il hydrate, adoucit et comble les brèches , laisse les cheveux maniables et soyeux. ;moisture-retention-shampoo-shea-butter-de-shea-moisture--p-image-266647-petite.png
ref0005;Shampooing Curl and Shine Shampoo Shea Moisture;;Le Shampoing Curl and Shine à base d\'hibiscus démêle, hydrate et définit les boucles en restaurant la fibre capillaire et la brillance. L\'huile de Coco nourrit en profondeur, les protéines de soie renforcent, l\'huile de Neem laisse le cheveu sain et brillant.;shea-moisture-shampooing-curl-and-shine-shampoo-p-image-266646-petite.png
ref0006;Shampoing Reconstructeur Jamaïcan Black Castor Oil;;Un shampoing reconstructeur sans sulfates qui élimine l\'accumulation de produits, tout en hydratant le cuir chevelu. Un soin cheveu intégral qui renforce la fibre capillaire de l\'intérieur. Excellent pour les cheveux affaiblis, abîmés, cassants et fourchus. ;shampoing-reconstructeur-jamaican-black-castor-oil-p-image-266659-petite.png
ref0007;Shampoing Bio Doobaline;;Shampooing Bio à l\'huile de Moringa, dès 3 ans. pour les cheveux secs à très secs ;shampoing-bio-doobaline-p-image-264879-petite.png
ref0008;Shampooing Crème Eclat Ebène;;Shampooing doux hydratant et relaxant. réhydrate et assouplit la fibre capillaire des cheveux frisés, secs à très secs, crépus et indisciplinés. ;shampooing-creme-eclat--p-image-260023-petite.png
ref0009;Savon Noir naturel Dudu Osun 25 grammes ;;Savon Noir naturel Dudu Osun 25 grammes en format découverte. ;savon-noir-naturel-dudu-osun-25-grammes--p-image-265947-petite.png
ref0010;Shampooing solide au Karité Equitable ;;Shampooing solide au Karité Equitable ;shampooing-solide-au-karite-equitable--p-image-261114-petite.png
ref0011;Shampooing Activateur de Boucles Activilong ACTICURL Hydra;;Shampooing Activateur de Boucles ACTICURL;shampooing-activateur-de-boucles-activilong-acticurl-hydra-p-image-264055-petite.png
ref0012;Shampooing Conditionneur Activilong NATURAL TOUCH;;Shampooing conditionneur à l\'Aloé, hydratant et protecteur, et à la fleur d\' Hibiscus, qui hydrate, renforce et assainit. Une texture crème qui ne mousse pas mais lave en douceur. Laisse les cheveux faciles à démêler, leur apporte un toucher soyeux et une belle brillance même sans après-shampoing !;shampooing-conditionneur-activilong-natural-touch-p-image-260008-petite.png
ref0013;Savon Nuage de Coco Noire ô Naturel;;Le Savon Nuage de Coco, c\'est 100 g de pure bonheur sur les épidermes les plus secs, sensibles et fragiles des enfants comme des adultes. A base de beurres végétaux bio de Karité et de Cacao, d\'huiles bio de Chanvre et Noyaux d\'Abricot et de Lait de Coco, ce savon est 100 % naturel. Extra riche, il ne contient ni parfum ni huiles essentielles. ;savon-nuage-de-coco-noire-o-naturel-p-image-261000-petite.png
ref0014;SHAMPOING Fortifiant ACTIFORCE;;Nutrition et douceur garanties avec ce Shampooing Fortifiant Actiforce qui nettoie le cuir chevelu en doucuer et le libère des impuretés tout en fortifiant les longueurs. 98% d\'origine naturelle, sans paraben, silicone, ni sulfate.;shampoing-fortifiant-actiforce-p-image-267045-petite.png
ref0015;shampoing Hair Cleansing Cream Jessicurl;;Hair Cleansing Cream de Jessicurl est un shampooing crémeux qui mousse peu mais nettoie et assouplit efficacement les textures épaisses, ultra sèches et les cheveux colorés.;shampoing-hair-cleansing-cream-jessicurl-p-image-258889-petite.png
ref0016;Shampooing prolongateur de lissage Activilong Actiliss;;Le Shampooing Actiliss est enrichi à l\'huile d\'argan Bio, à la kératine pure et aux protéines de lait Bio. Il nourrit les cheveux, prolonge les effets du lissage et rend les cheveux doux et soyeux. ;shampooing-prolongateur-de-lissage-activilong-actiliss-p-image-260014-petite.png
ref0017;Pain Savon Noir Aviela ;;Extrêmement doux et sans aucun apport chimique, le savon noir African Black Soap Aviela s\'utilise sur la peau et sur les cheveux. Purifiant et antiseptique il préserve la jeunesse de la peau et laisse le teint lumineux.;pain-savon-noir-aviela-p-image-267203-petite.png
ref0018;Shampooing Crème au Karité Equitable La Kaz Naturelle;;Shampooing Crème au Karité Equitable La Kaz Naturelle;shampooing-creme-au-karite-equitable-la-kaz-naturelle-p-image-264320-petite.png
ref0019;Savon Noire o naturel Un Amour de Tortilles ;;Shampooing sec idéal pour tresses, vanilles ou locks. ;savon-noire-o-naturel-un-amour-de-tortilles--p-image-259808-petite.png
ref0020;Shampooing Nettoyant Après Tissage Weave RX Organic Root Stimulator;;Shampooing qui nettoie en douceur, aide à retirer les restes de colle et d\'huile dans vos cheveux. Il hydrate et aide à démêler;shampooing-nettoyant-apres-tissage-weave-rx-organic-root-stimulator-p-image-259722-petite.png
ref0021;Co-Wash Crème lavante douce Activilong ACTICURL Hydra;;Co-Wash Crème lavante douce ACTICURL;co-wash-creme-lavante-douce-activilong-acticurl-hydra-p-image-264056-petite.png
ref0022;Shampooing Réparateur ACTIREPAIR;;Le shampooing Réparateur Acti-REPAIR d\'Activilong fait la part belle à l\'huile d\'olive et d\'avocat, un duo de choc pour nourrir, réparer et renforcer les cheveux secs. Enrichi en vitamines E et F, en nutriments et en Oméga 3 et 6, ses agents nettoyants anti dessèchement protègent et gainent les cheveux sur toute leur longueur. Restructurés, nourris et hydratés, ils sont plus facile à coiffer et retrouvent force et vitalité;shampooing-reparateur-actirepair-p-image-260016-petite.png
ref0023;COWASH Crème Lavante Douce ACTIFORCE;;La Crème lavante douce d\'ACTIFORCE élimine les impuretés du cuir chevelu tout en douceur et procure un boost aux protéines végétales sans alourdir la chevelure. Grâce à sa texture non moussante et extra-douce, les noeuds sont limités et les cheveux démêlés pour favoriser la formation de belles boucles.;cowash-creme-lavante-douce-actiforce-p-image-267042-petite.png
ref0024;Shampooing Crème à l\'Aloe Organic Root Stimulator;;Shampooing Crème à l\'Aloe. Les cheveux sont protégés, nourris et revitalisés. Particulièrement adapté aux cheveux frisés, secs ou crépus. ;shampooing-creme-a-l-aloe-organic-root-stimulator-p-image-257626-petite.png
ref0025;Uplifting Shampoo Réparateur Organic Root Stimulator;;shampoing clarifiant organic root stimulator à utiliser en alternance. Stimulant et revitalisant. Il élimine les résidus chimiques accumulés. Les pores obstrués se libèrent. il est adapté aux cheveux secs et défrisés;uplifting-shampoo-reparateur-organic-root-stimulator-p-image-259226-petite.png
ref0026;Shampooing Première Mousse Keracare;;Shampooing clarifiant keracare Première Mousse, nettoie convenablement et efficacement tout type de cheveux, ne ternit pas le cheveu;shampooing-premiere-mousse-keracare-p-image-258672-petite.png
ref0027;Shampoing Clean & Natural Herbal Hair Wash Taliah Waajid;;Shampoing Clean & Natural Herbal Hair Wash Taliah Waajid;shampoing-clean---natural-herbal-hair-wash-taliah-waajid-p-image-266125-petite.png
ref0028;Shampoing Magic SJR;;Shampoing Magic SJR;shampoing-magic-sjr-p-image-263595-petite.png
ref0029;Shampooing à la menthe poivrée - Africare;;Ce shampooing purifiant Africare assure un nettoyage en profondeur. Il élimine en douceur les impuretés sans décaper. Les cheveux et le cuir chevelu sont assainis de la racine à la pointe. Particulièrement adapté aux cheveux frisés, secs, crépus et les toutes les coiffures africaines : tresses, vanilles, locks.;shampooing-a-la-menthe-poivree-africare-p-image-257514-petite.png
ref0030;Shampoing sec herbal d\'organic Root;;Herbal Cleanse Shampooing sec pour tresses et locks;herbal-cleanse-shampooing-p-image-259877-petite.png
ref0031;Pré-Shampooing Stimulating Herbal Cleanser Black Earth;;Shampooing clarifiant locks et cheveux crépus. Il élimine les résidus de coiffage, assainit et stimule le cuir chevelu.;pre-shampooing-stimulating-herbal-cleanser-black-earth-p-image-259893-petite.png
ref0032;Shampooing Hydratant pour cheveux colorés Keracare;;nettoie les cheuveux.réhausse, prolonge et hydrate les cheveux colorés;shampooing-hydratant-pour-cheveux-colores-keracare-p-image-258674-petite.png
ref0033;Clean n\' Curly Taliah Waajid;; Pour nettoyer en douceur et apporter brillance et hydratation aux cheveux crépus, frisés. Enrichi en acides aminés de soie. ;clean-n--curly-taliah-waajid-p-image-259897-petite.png
